onset	duration	sample	value
0.0000000000	n/a	0	boundary
10.9440000000	1.0000000000	5472	S  1
12.5080000000	1.0000000000	6254	S  3
12.5580000000	1.0000000000	6279	S  6
14.4580000000	1.0000000000	7229	S  6
15.2580000000	1.0000000000	7629	S  6
16.0060000000	1.0000000000	8003	S  4
17.0140000000	1.0000000000	8507	S  5
17.4580000000	1.0000000000	8729	S  6
22.4400000000	1.0000000000	11220	S  1
23.6880000000	1.0000000000	11844	S  3
24.8540000000	1.0000000000	12427	S  6
26.9700000000	1.0000000000	13485	S  6
29.0700000000	1.0000000000	14535	S  6
32.8200000000	1.0000000000	16410	S  2
33.3680000000	1.0000000000	16684	S  3
36.5480000000	1.0000000000	18274	S  4
37.1500000000	1.0000000000	18575	S  6
38.9500000000	1.0000000000	19475	S  6
39.0600000000	1.0000000000	19530	S  5
40.3500000000	1.0000000000	20175	S  6
41.7500000000	1.0000000000	20875	S  6
43.9480000000	1.0000000000	21974	S  6
45.1480000000	1.0000000000	22574	S  6
50.7980000000	1.0000000000	25399	S  2
51.6460000000	1.0000000000	25823	S  3
52.5120000000	1.0000000000	26256	S  6
53.7280000000	1.0000000000	26864	S  6
55.4280000000	1.0000000000	27714	S  6
56.9800000000	1.0000000000	28490	S  4
58.3260000000	1.0000000000	29163	S  6
59.2260000000	1.0000000000	29613	S  6
59.8120000000	1.0000000000	29906	S  5
60.7260000000	1.0000000000	30363	S  6
62.3280000000	1.0000000000	31164	S  6
65.6240000000	1.0000000000	32812	S  6
68.7740000000	1.0000000000	34387	S  2
70.3240000000	1.0000000000	35162	S  3
70.8060000000	1.0000000000	35403	S  6
72.1060000000	1.0000000000	36053	S  6
74.8520000000	1.0000000000	37426	S  4
75.1040000000	1.0000000000	37552	S  6
76.4040000000	1.0000000000	38202	S  6
76.7700000000	1.0000000000	38385	S  6
77.8280000000	1.0000000000	38914	S  5
78.1700000000	1.0000000000	39085	S  6
80.3700000000	1.0000000000	40185	S  6
81.9680000000	1.0000000000	40984	S  6
84.0840000000	1.0000000000	42042	S  6
86.1600000000	1.0000000000	43080	S  7
103.6620000000	1.0000000000	51831	S  1
105.6940000000	1.0000000000	52847	S  6
107.2940000000	1.0000000000	53647	S  6
107.6600000000	1.0000000000	53830	S  6
108.1960000000	1.0000000000	54098	S  4
108.7600000000	1.0000000000	54380	S  6
109.4600000000	1.0000000000	54730	S  6
109.8120000000	1.0000000000	54906	S  5
112.4180000000	1.0000000000	56209	S  7
123.2560000000	1.0000000000	61628	S  1
124.5040000000	1.0000000000	62252	S  3
126.5880000000	1.0000000000	63294	S  6
128.8860000000	1.0000000000	64443	S  6
133.6360000000	1.0000000000	66818	S  2
134.7840000000	1.0000000000	67392	S  3
134.9500000000	1.0000000000	67475	S  6
135.4680000000	1.0000000000	67734	S  6
136.0680000000	1.0000000000	68034	S  6
137.2660000000	1.0000000000	68633	S  6
137.8920000000	1.0000000000	68946	S  4
138.4660000000	1.0000000000	69233	S  6
139.9880000000	1.0000000000	69994	S  5
140.0660000000	1.0000000000	70033	S  6
140.4320000000	1.0000000000	70216	S  6
141.3320000000	1.0000000000	70666	S  6
142.3320000000	1.0000000000	71166	S  6
143.4320000000	1.0000000000	71716	S  6
